date,QQQ
2003-08-13,30.870001
2003-08-14,30.9
2003-08-15,31.17
2003-08-18,31.969999
2003-08-19,32.369999
2003-08-20,32.290001
2003-08-21,32.639999
2003-08-22,32.439999
2003-08-25,32.509998
2003-08-26,32.540001
2003-08-27,32.799999
2003-08-28,33.09
2003-08-29,33.389999
2003-09-02,33.869999
2003-09-03,33.849998
2003-09-04,34.16
2003-09-05,33.939999
2003-09-08,34.5
2003-09-09,34.09
2003-09-10,33.27
2003-09-11,33.639999
2003-09-12,33.82
2003-09-15,33.490002
2003-09-16,34.400002
2003-09-17,34.259998
2003-09-18,34.779999
2003-09-19,34.580002
2003-09-22,33.919998
2003-09-23,34.52
2003-09-24,33.220001
2003-09-25,32.790001
2003-09-26,32.580002
2003-09-29,33.139999
2003-09-30,32.419998
2003-10-01,33.150002
2003-10-02,33.259998
2003-10-03,34.189999
2003-10-06,34.439999
2003-10-07,34.650002
2003-10-08,34.43
2003-10-09,34.689999
2003-10-10,35.009998
2003-10-13,35.240002
2003-10-14,35.330002
2003-10-15,35.18
2003-10-16,35.459999
2003-10-17,34.610001
2003-10-20,35.040001
2003-10-21,35.25
2003-10-22,34.57
2003-10-23,34.169998
2003-10-24,34.200001
2003-10-27,34.209999
2003-10-28,35.360001
2003-10-29,35.32
2003-10-30,35.389999
2003-10-31,35.18
2003-11-03,35.759998
2003-11-04,35.52
2003-11-05,35.84
2003-11-06,35.939999
2003-11-07,35.630001
2003-11-10,35.189999
2003-11-11,35.060001
2003-11-12,35.810001
2003-11-13,35.77
2003-11-14,35.040001
2003-11-17,34.68
2003-11-18,33.880001
2003-11-19,34.209999
2003-11-20,33.880001
2003-11-21,34.23
2003-11-24,35.18
2003-11-25,35.18
2003-11-26,35.34
2003-11-28,35.380001
2003-12-01,35.900002
2003-12-02,35.700001
2003-12-03,35.25
2003-12-04,35.630001
2003-12-05,35.040001
2003-12-08,35.240002
2003-12-09,34.43
2003-12-10,34.560001
2003-12-11,35.299999
2003-12-12,35.240002
2003-12-15,34.779999
2003-12-16,34.849998
2003-12-17,34.91
2003-12-18,35.560001
2003-12-19,35.459999
2003-12-22,35.57
2003-12-23,35.84
2003-12-24,35.900002
2003-12-26,35.849998
2003-12-29,36.439999
2003-12-30,36.560001
2003-12-31,36.459999
2004-01-02,36.360001
2004-01-05,37.09
2004-01-06,37.34
2004-01-07,37.68
2004-01-08,37.98
2004-01-09,37.73
2004-01-12,38.330002
2004-01-13,37.950001
2004-01-14,38.080002
2004-01-15,38.18
2004-01-16,38.57
2004-01-20,38.540001
2004-01-21,38.380001
2004-01-22,38.150002
2004-01-23,38.009998
2004-01-26,38.59
2004-01-27,37.740002
2004-01-28,37.099998
2004-01-29,37.240002
2004-01-30,37.07
2004-02-02,36.970001
2004-02-03,36.93
2004-02-04,36.330002
2004-02-05,36.470001
2004-02-06,37.130001
2004-02-09,37.119999
2004-02-10,37.18
2004-02-11,37.580002
2004-02-12,37.25
2004-02-13,36.939999
2004-02-17,37.439999
2004-02-18,37.549999
2004-02-19,36.98
2004-02-20,36.860001
2004-02-23,36.450001
2004-02-24,36.360001
2004-02-25,36.580002
2004-02-26,36.669998
2004-02-27,36.57
2004-03-01,37.049999
2004-03-02,36.619999
2004-03-03,36.419998
2004-03-04,36.759998
2004-03-05,36.630001
2004-03-08,35.77
2004-03-09,35.66
2004-03-10,35.189999
2004-03-11,34.869999
2004-03-12,35.509998
2004-03-15,34.889999
2004-03-16,34.950001
2004-03-17,35.5
2004-03-18,35.34
2004-03-19,34.75
2004-03-22,34.310001
2004-03-23,34.029999
2004-03-24,34.419998
2004-03-25,35.34
2004-03-26,35.220001
2004-03-29,35.790001
2004-03-30,35.91
2004-03-31,35.84
2004-04-01,36.16
2004-04-02,37.099998
2004-04-05,37.450001
2004-04-06,36.98
2004-04-07,36.939999
2004-04-08,36.939999
2004-04-12,37.169998
2004-04-13,36.630001
2004-04-14,36.810001
2004-04-15,36.150002
2004-04-16,36.09
2004-04-19,36.529999
2004-04-20,35.68
2004-04-21,35.990002
2004-04-22,36.919998
2004-04-23,37.209999
2004-04-26,36.939999
2004-04-27,36.869999
2004-04-28,36.200001
2004-04-29,35.639999
2004-04-30,34.77
2004-05-03,35.099998
2004-05-04,35.25
2004-05-05,35.529999
2004-05-06,35.259998
2004-05-07,34.970001
2004-05-10,34.669998
2004-05-11,35.189999
2004-05-12,35.259998
2004-05-13,35.009998
2004-05-14,34.75
2004-05-17,34.419998
2004-05-18,34.73
2004-05-19,34.689999
2004-05-20,34.849998
2004-05-21,35.02
2004-05-24,35.259998
2004-05-25,35.959999
2004-05-26,36.189999
2004-05-27,36.419998
2004-05-28,36.549999
2004-06-01,36.5
2004-06-02,36.419998
2004-06-03,35.98
2004-06-04,36.189999
2004-06-07,37.049999
2004-06-08,37.099998
2004-06-09,36.580002
2004-06-10,36.84
2004-06-14,36.32
2004-06-15,36.790001
2004-06-16,36.73
2004-06-17,36.389999
2004-06-18,36.439999
2004-06-21,36.150002
2004-06-22,36.68
2004-06-23,37.119999
2004-06-24,37.049999
2004-06-25,37.330002
2004-06-28,37.02
2004-06-29,37.369999
2004-06-30,37.740002
2004-07-01,37.040001
2004-07-02,36.82
2004-07-06,36.029999
2004-07-07,36.099998
2004-07-08,35.700001
2004-07-09,35.75
2004-07-12,35.599998
2004-07-13,35.549999
2004-07-14,35.189999
2004-07-15,35.07
2004-07-16,34.669998
2004-07-19,34.599998
2004-07-20,35.43
2004-07-21,34.400002
2004-07-22,34.869999
2004-07-23,34.209999
2004-07-26,34.060001
2004-07-27,34.529999
2004-07-28,34.380001
2004-07-29,34.779999
2004-07-30,34.889999
2004-08-02,34.959999
2004-08-03,34.23
2004-08-04,34.240002
2004-08-05,33.599998
2004-08-06,32.720001
2004-08-09,32.799999
2004-08-10,33.209999
2004-08-11,32.919998
2004-08-12,32.470001
2004-08-13,32.52
2004-08-16,32.889999
2004-08-17,33.259998
2004-08-18,33.849998
2004-08-19,33.669998
2004-08-20,34.009998
2004-08-23,34.09
2004-08-24,34.080002
2004-08-25,34.549999
2004-08-26,34.400002
2004-08-27,34.560001
2004-08-30,33.98
2004-08-31,34.02
2004-09-01,34.27
2004-09-02,34.779999
2004-09-03,34.139999
2004-09-07,34.43
2004-09-08,34.299999
2004-09-09,34.59
2004-09-10,35.119999
2004-09-13,35.580002
2004-09-14,35.630001
2004-09-15,35.25
2004-09-16,35.32
2004-09-17,35.43
2004-09-20,35.43
2004-09-21,35.57
