date,BAMLH0A0HYM2
2016-12-02,3.808666970367741
2016-12-09,3.702240262046814
2016-12-16,3.5580069379492647
2016-12-23,3.479345707783305
2016-12-30,3.5608443030217796
2017-01-06,3.4124923355930057
2017-01-13,3.3782086295149782
2017-01-20,3.349657881063783
2017-01-27,3.279407726237038
2017-02-03,3.327699920052454
2017-02-10,3.3102125581192614
2017-02-17,3.316367496262748
2017-02-24,3.3417273395242195
2017-03-03,3.272618896780249
2017-03-10,3.328263066974163
2017-03-17,3.3579660276613637
2017-03-24,3.4232036326615867
2017-03-31,3.412380581400042
2017-04-07,3.414914935233832
2017-04-14,3.5091504988337405
2017-04-21,3.4509073934787953
2017-04-28,3.270650203074242
2017-05-05,3.182024672880625
2017-05-12,3.13894074834278
2017-05-19,3.166231345931605
2017-05-26,3.0256774506251007
2017-06-02,2.9916609771499374
2017-06-09,2.9767045205778904
2017-06-16,2.9293331093434065
2017-06-23,2.8674112841394113
2017-06-30,2.8425890004840126
2017-07-07,2.820909293685882
2017-07-14,2.750040067309095
2017-07-21,2.7004794271235637
2017-07-28,2.7388438000973507
2017-08-04,2.741992740883749
2017-08-11,3.0052576526980683
2017-08-18,2.993749767431793
2017-08-25,2.9168253568536904
2017-09-01,2.907869503809825
2017-09-08,3.0020691011874288
2017-09-15,2.8578156543771764
2017-09-22,2.7733746295148762
2017-09-29,2.7003138712449437
2017-10-06,2.657644391669716
2017-10-13,2.615902176867103
2017-10-20,2.5736802359018385
2017-10-27,2.5356641088970315
2017-11-03,2.472352316803684
2017-11-10,2.5614537173102305
2017-11-17,2.561940411084669
2017-11-24,2.464130339584132
2017-12-01,2.5017623446297548
2017-12-08,2.425749737421198
2017-12-15,2.3457177791556343
2017-12-22,2.339299715087026
2017-12-29,2.3528706276416598
2018-01-05,2.253363851854803
2018-01-12,2.224457157140154
2018-01-19,2.2548598311224484
2018-01-26,2.2498974967795577
2018-02-02,2.476591800790903
2018-02-09,2.8442478664887476
2018-02-16,2.740882943157277
2018-02-23,2.758436922738577
2018-03-02,2.9298848064261063
2018-03-09,2.9131242190953546
2018-03-16,3.006108093422293
2018-03-23,3.294098143162037
2018-03-30,3.1926771497135302
2018-04-06,3.2003446311120873
2018-04-13,3.027388842468731
2018-04-20,2.9387718793337148
2018-04-27,2.860368582474463
2018-05-04,2.8403035820107867
2018-05-11,2.7028992435243984
2018-05-18,2.712835589003498
2018-05-25,2.72381074573893
2018-06-01,2.796260805575107
2018-06-08,2.7828177908065155
2018-06-15,2.782059694365203
2018-06-22,2.9462615575611464
2018-06-29,3.044396575471142
2018-07-06,2.9348035731920556
2018-07-13,2.8233586944247357
2018-07-20,2.8178526175276075
2018-07-27,2.7229332834848803
2018-08-03,2.6367057645409018
2018-08-10,2.671456598698717
2018-08-17,2.640653388905916
2018-08-24,2.600773040759682
2018-08-31,2.628180807076638
2018-09-07,2.686787628658737
